time	step	loss	loss_ma25	lr	tokens_seen_b
2026-05-28T13:00:11+08:00	3440	4.14420700	4.31450455	0.000298409200195	0.33816576
2026-05-28T13:00:47+08:00	3460	4.18304300	4.30609747	0.000298383056269	0.34013184
2026-05-28T13:01:25+08:00	3480	4.10753822	4.29600679	0.000298356700553	0.34209792
2026-05-28T13:02:02+08:00	3500	4.22879171	4.29318537	0.00029833013309	0.34406400
2026-05-28T13:02:40+08:00	3520	4.12746143	4.28160837	0.000298303353922	0.34603008
2026-05-28T13:03:17+08:00	3540	4.22451973	4.27275999	0.000298276363092	0.34799616
2026-05-28T13:03:53+08:00	3560	4.23575687	4.26797083	0.000298249160641	0.34996224
2026-05-28T13:04:29+08:00	3580	4.27360916	4.26590996	0.000298221746615	0.35192832
2026-05-28T13:05:05+08:00	3600	4.29615879	4.26541977	0.000298194121055	0.35389440
2026-05-28T13:05:40+08:00	3620	4.17082405	4.26462650	0.000298166284007	0.35586048
2026-05-28T13:06:15+08:00	3640	4.22149944	4.26514444	0.000298138235513	0.35782656
2026-05-28T13:06:49+08:00	3660	4.28881836	4.25893843	0.000298109975619	0.35979264
2026-05-28T13:07:24+08:00	3680	4.11291695	4.25196577	0.00029808150437	0.36175872
2026-05-28T13:07:59+08:00	3700	4.16078854	4.24840126	0.00029805282181	0.36372480
2026-05-28T13:08:33+08:00	3720	4.26151562	4.24511351	0.000298023927986	0.36569088
2026-05-28T13:09:07+08:00	3740	4.20719671	4.23926928	0.000297994822943	0.36765696
2026-05-28T13:09:40+08:00	3760	4.24563885	4.23759890	0.000297965506727	0.36962304
2026-05-28T13:10:14+08:00	3780	4.22037840	4.23610804	0.000297935979385	0.37158912
2026-05-28T13:10:47+08:00	3800	4.19641113	4.22969391	0.000297906240964	0.37355520
2026-05-28T13:11:21+08:00	3820	4.13908148	4.22271826	0.000297876291512	0.37552128
2026-05-28T13:11:55+08:00	3840	4.18367958	4.21702108	0.000297846131074	0.37748736
2026-05-28T13:12:29+08:00	3860	4.07528067	4.20514793	0.0002978157597	0.37945344
2026-05-28T13:13:04+08:00	3880	4.13098431	4.19743374	0.000297785177438	0.38141952
2026-05-28T13:13:37+08:00	3900	4.15667343	4.19466805	0.000297754384336	0.38338560
2026-05-28T13:14:09+08:00	3920	4.09033394	4.18732430	0.000297723380444	0.38535168
2026-05-28T13:14:41+08:00	3940	4.17685890	4.18863037	0.000297692165809	0.38731776
2026-05-28T13:15:13+08:00	3960	4.11853647	4.18605011	0.000297660740483	0.38928384
2026-05-28T13:15:45+08:00	3980	4.18489361	4.18914433	0.000297629104514	0.39124992
2026-05-28T13:16:17+08:00	4000	4.12680101	4.18506470	0.000297597257954	0.39321600
2026-05-28T13:16:48+08:00	4020	4.18354702	4.18730812	0.000297565200852	0.39518208
2026-05-28T13:17:20+08:00	4040	4.20789719	4.18664322	0.000297532933259	0.39714816
2026-05-28T13:17:52+08:00	4060	4.05547094	4.17943178	0.000297500455228	0.39911424
2026-05-28T13:18:24+08:00	4080	4.26128387	4.17893877	0.000297467766809	0.40108032
2026-05-28T13:18:55+08:00	4100	4.19851017	4.17503283	0.000297434868054	0.40304640
2026-05-28T13:19:27+08:00	4120	4.01158142	4.16866312	0.000297401759015	0.40501248
2026-05-28T13:19:59+08:00	4140	4.07716656	4.16288980	0.000297368439746	0.40697856
2026-05-28T13:20:31+08:00	4160	4.06884956	4.15409105	0.000297334910299	0.40894464
2026-05-28T13:21:02+08:00	4180	4.11608505	4.15421778	0.000297301170726	0.41091072
2026-05-28T13:21:34+08:00	4200	4.03842068	4.14932306	0.000297267221083	0.41287680
2026-05-28T13:22:06+08:00	4220	4.08447742	4.14224154	0.000297233061422	0.41484288
2026-05-28T13:22:38+08:00	4240	4.14019966	4.13956165	0.000297198691799	0.41680896
2026-05-28T13:23:10+08:00	4260	4.09678745	4.13360760	0.000297164112266	0.41877504
2026-05-28T13:23:41+08:00	4280	4.20578003	4.13302366	0.00029712932288	0.42074112
2026-05-28T13:24:13+08:00	4300	4.06589508	4.12780302	0.000297094323696	0.42270720
2026-05-28T13:24:43+08:00	4320	4.00810242	4.12256386	0.000297059114769	0.42467328
2026-05-28T13:25:14+08:00	4340	4.11197758	4.11969578	0.000297023696155	0.42663936
2026-05-28T13:25:46+08:00	4360	4.15370941	4.12283293	0.000296988067911	0.42860544
2026-05-28T13:26:17+08:00	4380	4.12182617	4.12246660	0.000296952230092	0.43057152
2026-05-28T13:26:48+08:00	4400	4.10735226	4.12049376	0.000296916182756	0.43253760
2026-05-28T13:27:20+08:00	4420	3.94307280	4.11460331	0.00029687992596	0.43450368
2026-05-28T13:27:51+08:00	4440	4.16508770	4.11413246	0.000296843459762	0.43646976
2026-05-28T13:28:23+08:00	4460	4.02248955	4.11029058	0.00029680678422	0.43843584
2026-05-28T13:28:55+08:00	4480	4.02851868	4.10403559	0.000296769899391	0.44040192
2026-05-28T13:29:27+08:00	4500	4.02793217	4.10008083	0.000296732805335	0.44236800
2026-05-28T13:29:59+08:00	4520	4.09696913	4.09661772	0.00029669550211	0.44433408
2026-05-28T13:30:30+08:00	4540	4.09384441	4.09205561	0.000296657989775	0.44630016
2026-05-28T13:31:02+08:00	4560	4.01725292	4.09052689	0.00029662026839	0.44826624
2026-05-28T13:31:34+08:00	4580	4.08683538	4.08354895	0.000296582338016	0.45023232
2026-05-28T13:32:06+08:00	4600	4.05522108	4.07781738	0.000296544198711	0.45219840
2026-05-28T13:32:37+08:00	4620	4.08454132	4.08073578	0.000296505850537	0.45416448
2026-05-28T13:33:09+08:00	4640	4.01291752	4.07816582	0.000296467293555	0.45613056
2026-05-28T13:33:41+08:00	4660	4.21077967	4.08384302	0.000296428527826	0.45809664
2026-05-28T13:34:13+08:00	4680	4.14463997	4.08498522	0.000296389553411	0.46006272
2026-05-28T13:34:44+08:00	4700	4.12334442	4.08838217	0.000296350370372	0.46202880
2026-05-28T13:35:15+08:00	4720	4.11167479	4.08947006	0.000296310978772	0.46399488
2026-05-28T13:35:46+08:00	4740	4.05353832	4.08600361	0.000296271378673	0.46596096
2026-05-28T13:36:17+08:00	4760	4.12430525	4.08710432	0.000296231570137	0.46792704
2026-05-28T13:36:48+08:00	4780	4.15228319	4.08496445	0.000296191553229	0.46989312
2026-05-28T13:37:19+08:00	4800	4.03274155	4.08363831	0.000296151328012	0.47185920
2026-05-28T13:37:50+08:00	4820	4.01703978	4.08399580	0.000296110894549	0.47382528
2026-05-28T13:38:21+08:00	4840	4.02169085	4.08038433	0.000296070252904	0.47579136
2026-05-28T13:38:52+08:00	4860	3.95187116	4.07231080	0.000296029403143	0.47775744
2026-05-28T13:39:23+08:00	4880	3.92290235	4.06435385	0.00029598834533	0.47972352
2026-05-28T13:39:55+08:00	4900	4.04605293	4.06190187	0.000295947079531	0.48168960
2026-05-28T13:40:26+08:00	4920	4.01655531	4.06484118	0.00029590560581	0.48365568
2026-05-28T13:40:58+08:00	4940	4.07323074	4.06116690	0.000295863924234	0.48562176
2026-05-28T13:41:30+08:00	4960	3.95144796	4.05832523	0.000295822034869	0.48758784
2026-05-28T13:42:02+08:00	4980	4.04502630	4.05898554	0.000295779937781	0.48955392
2026-05-28T13:42:33+08:00	5000	4.02205706	4.05875053	0.000295737633038	0.49152000
2026-05-28T13:43:07+08:00	5020	4.06986904	4.05766653	0.000295695120706	0.49348608
2026-05-28T13:43:39+08:00	5040	4.03438902	4.05528831	0.000295652400852	0.49545216
2026-05-28T13:44:11+08:00	5060	4.04083347	4.05623154	0.000295609473546	0.49741824
2026-05-28T13:44:42+08:00	5080	4.11252499	4.05725912	0.000295566338854	0.49938432
2026-05-28T13:45:14+08:00	5100	4.01571274	4.05567879	0.000295522996846	0.50135040
2026-05-28T13:45:46+08:00	5120	4.12936163	4.05747160	0.00029547944759	0.50331648
2026-05-28T13:46:18+08:00	5140	4.17961597	4.06413954	0.000295435691156	0.50528256
2026-05-28T13:46:49+08:00	5160	4.02419853	4.05667629	0.000295391727612	0.50724864
2026-05-28T13:47:21+08:00	5180	4.00649691	4.05115057	0.000295347557029	0.50921472
2026-05-28T13:47:53+08:00	5200	3.83506441	4.03961937	0.000295303179476	0.51118080
2026-05-28T13:48:25+08:00	5220	4.07578897	4.03818394	0.000295258595025	0.51314688
2026-05-28T13:48:56+08:00	5240	4.03912544	4.03760742	0.000295213803746	0.51511296
2026-05-28T13:49:28+08:00	5260	4.04724121	4.03452486	0.00029516880571	0.51707904
2026-05-28T13:50:00+08:00	5280	3.94149852	4.02609347	0.000295123600989	0.51904512
2026-05-28T13:50:31+08:00	5300	3.99103069	4.02442504	0.000295078189654	0.52101120
2026-05-28T13:51:02+08:00	5320	3.95900345	4.02210359	0.000295032571778	0.52297728
2026-05-28T13:51:33+08:00	5340	4.11891937	4.02599273	0.000294986747432	0.52494336
2026-05-28T13:52:05+08:00	5360	4.11862421	4.03266285	0.00029494071669	0.52690944
2026-05-28T13:52:37+08:00	5380	3.91936350	4.03252130	0.000294894479625	0.52887552
2026-05-28T13:53:09+08:00	5400	3.90673971	4.02694877	0.00029484803631	0.53084160
2026-05-28T13:53:40+08:00	5420	3.98169899	4.02555451	0.000294801386819	0.53280768
2026-05-28T13:54:12+08:00	5440	4.02928305	4.02379661	0.000294754531226	0.53477376
2026-05-28T13:54:44+08:00	5460	3.93714452	4.02322447	0.000294707469606	0.53673984
2026-05-28T13:55:16+08:00	5480	3.87361336	4.01636795	0.000294660202032	0.53870592
